時間,開盤,最高,最低,收盤,成交量,收盤差,力道方向,力道,昨收,ATR20,ma10,bias,ACTION
2025-05-28 08:45,21430.0,21457.0,21430.0,21449.0,3125.0,0.0,False,0.0,0,0,,0.0,
2025-05-28 08:46,21450.0,21450.0,21441.0,21445.0,697.0,-4.0,False,-2788.0,0,0,,0.0,
2025-05-28 08:47,21446.0,21465.0,21444.0,21458.0,988.0,13.0,True,12844.0,0,0,,0.0,
2025-05-28 08:48,21459.0,21462.0,21455.0,21457.0,498.0,-1.0,False,-498.0,0,0,,0.0,
2025-05-28 08:49,21457.0,21464.0,21453.0,21462.0,599.0,5.0,True,2995.0,0,0,,0.0,
2025-05-28 08:50,21467.0,21470.0,21462.0,21468.0,743.0,6.0,True,4458.0,0,0,,0.0,
2025-05-28 08:51,21470.0,21475.0,21466.0,21466.0,668.0,-2.0,False,-1336.0,0,0,,0.0,
2025-05-28 08:52,21466.0,21474.0,21464.0,21472.0,373.0,6.0,True,2238.0,0,0,,0.0,
2025-05-28 08:53,21472.0,21472.0,21465.0,21468.0,302.0,-4.0,False,-1208.0,0,0,,0.0,
2025-05-28 08:54,21468.0,21470.0,21462.0,21470.0,414.0,2.0,True,828.0,0,0,21461.5,3.960580574517159,
2025-05-28 08:55,21466.0,21472.0,21464.0,21469.0,278.0,-1.0,False,-278.0,0,0,21463.5,2.5624898082791714,
2025-05-28 08:56,21468.0,21471.0,21461.0,21463.0,227.0,-6.0,False,-1362.0,0,0,21465.3,-1.0714967878386383,
2025-05-28 08:57,21462.0,21472.0,21461.0,21471.0,303.0,8.0,True,2424.0,0,0,21466.6,2.0496958065093938,
2025-05-28 08:58,21470.0,21470.0,21457.0,21458.0,472.0,-13.0,False,-6136.0,0,0,21466.7,-4.052788737906026,
2025-05-28 08:59,21459.0,21460.0,21446.0,21449.0,720.0,-9.0,False,-6480.0,0,0,21465.4,-7.64020237219034,
2025-05-28 09:00,21454.0,21474.0,21449.0,21463.0,1081.0,14.0,True,15134.0,0,0,21464.9,-0.8851660152162157,
2025-05-28 09:01,21458.0,21462.0,21451.0,21460.0,517.0,-3.0,False,-1551.0,0,0,21464.3,-2.003326453692537,
2025-05-28 09:02,21462.0,21493.0,21458.0,21492.0,1646.0,32.0,True,52672.0,0,0,21466.3,11.972254184466223,
2025-05-28 09:03,21495.0,21510.0,21488.0,21509.0,2392.0,17.0,True,40664.0,0,0,21470.4,17.978239809225045,
2025-05-28 09:04,21508.0,21511.0,21492.0,21496.0,1260.0,-13.0,False,-16380.0,0,0,21473.0,10.711125599590183,
2025-05-28 09:05,21494.0,21503.0,21490.0,21490.0,952.0,-6.0,False,-5712.0,0,0,21475.1,6.938268040661723,
2025-05-28 09:06,21491.0,21499.0,21480.0,21480.0,788.0,-10.0,False,-7880.0,0,0,21476.8,1.4899798852718875,
2025-05-28 09:07,21480.0,21482.0,21451.0,21462.0,1305.0,-18.0,False,-23490.0,0,0,21475.9,-6.4723713557995035,
2025-05-28 09:08,21460.0,21460.0,21442.0,21446.0,963.0,-16.0,False,-15408.0,0,0,21474.7,-13.364563882150032,
2025-05-28 09:09,21445.0,21460.0,21440.0,21460.0,953.0,14.0,True,13342.0,0,0,21475.8,-7.357118244721628,
2025-05-28 09:10,21453.0,21459.0,21444.0,21446.0,533.0,-14.0,False,-7462.0,0,0,21474.1,-13.085530941924711,
2025-05-28 09:11,21446.0,21451.0,21440.0,21450.0,441.0,4.0,True,1764.0,0,0,21473.1,-10.75764561241672,
2025-05-28 09:12,21449.0,21470.0,21449.0,21468.0,771.0,18.0,True,13878.0,0,0,21470.7,-1.2575277005410759,
2025-05-28 09:13,21468.0,21468.0,21457.0,21458.0,289.0,-10.0,False,-2890.0,0,0,21465.6,-3.540548598687456,
2025-05-28 09:14,21457.0,21463.0,21449.0,21450.0,347.0,-8.0,False,-2776.0,0,0,21461.0,-5.125576627370579,
2025-05-28 09:15,21447.0,21457.0,21445.0,21447.0,613.0,-3.0,False,-1839.0,0,0,21456.7,-4.52073245186852,
2025-05-28 09:16,21453.0,21456.0,21447.0,21451.0,298.0,4.0,True,1192.0,0,0,21453.8,-1.3051300935029098,
2025-05-28 09:17,21449.0,21452.0,21441.0,21445.0,341.0,-6.0,False,-2046.0,0,0,21452.1,-3.30969928351935,
2025-05-28 09:18,21446.0,21451.0,21439.0,21450.0,520.0,5.0,True,2600.0,0,0,21452.5,-1.1653653420347279,
2025-05-28 09:19,21450.0,21451.0,21441.0,21441.0,254.0,-9.0,False,-2286.0,0,0,21450.6,-4.475399289529685,
2025-05-28 09:20,21439.0,21451.0,21433.0,21446.0,1034.0,5.0,True,5170.0,0,0,21450.6,-2.1444621595659537,
2025-05-28 09:21,21445.0,21456.0,21443.0,21446.0,463.0,0.0,False,0.0,0,0,21450.2,-1.9580237014110484,
2025-05-28 09:22,21446.0,21465.0,21446.0,21461.0,669.0,15.0,True,10035.0,0,0,21449.5,5.361430336371478,
2025-05-28 09:23,21463.0,21471.0,21456.0,21456.0,724.0,-5.0,False,-3620.0,0,0,21449.3,3.12364506067831,
2025-05-28 09:24,21457.0,21461.0,21446.0,21450.0,254.0,-6.0,False,-1524.0,0,0,21449.3,0.32635097648908246,
2025-05-28 09:25,21452.0,21458.0,21444.0,21444.0,282.0,-6.0,False,-1692.0,0,0,21449.0,-2.3311110075061774,
2025-05-28 09:26,21445.0,21447.0,21426.0,21431.0,1016.0,-13.0,False,-13208.0,0,0,21447.0,-7.460250850934862,
2025-05-28 09:27,21431.0,21431.0,21418.0,21425.0,1435.0,-6.0,False,-8610.0,0,0,21445.0,-9.326183259501049,
2025-05-28 09:28,21422.0,21423.0,21415.0,21418.0,719.0,-7.0,False,-5033.0,0,0,21441.8,-11.099814381254966,
2025-05-28 09:29,21421.0,21421.0,21409.0,21409.0,818.0,-9.0,False,-7362.0,0,0,21438.6,-13.806871717368928,
2025-05-28 09:30,21412.0,21414.0,21398.0,21398.0,1433.0,-11.0,False,-15763.0,0,0,21433.8,-16.702591234405133,
2025-05-28 09:31,21397.0,21404.0,21392.0,21400.0,911.0,2.0,True,1822.0,0,0,21429.2,-13.626266962836096,
2025-05-28 09:32,21399.0,21404.0,21371.0,21380.0,1648.0,-20.0,False,-32960.0,0,0,21421.1,-19.186689759162018,
2025-05-28 09:33,21377.0,21377.0,21366.0,21376.0,1164.0,-4.0,False,-4656.0,0,0,21413.1,-17.325842591683852,
2025-05-28 09:34,21376.0,21378.0,21372.0,21377.0,456.0,1.0,True,456.0,0,0,21405.8,-13.454297433405559,
2025-05-28 09:35,21379.0,21379.0,21369.0,21376.0,784.0,-1.0,False,-784.0,0,0,21399.0,-10.748165802140287,
2025-05-28 09:36,21376.0,21376.0,21356.0,21366.0,1279.0,-10.0,False,-12790.0,0,0,21392.5,-12.38751899030034,
2025-05-28 09:37,21365.0,21372.0,21348.0,21360.0,1368.0,-6.0,False,-8208.0,0,0,21386.0,-12.157486205929112,
2025-05-28 09:38,21360.0,21368.0,21360.0,21362.0,399.0,2.0,True,798.0,0,0,21380.4,-8.60601298385505,
2025-05-28 09:39,21363.0,21372.0,21360.0,21367.0,583.0,5.0,True,2915.0,0,0,21376.2,-4.303851947493347,
2025-05-28 09:40,21369.0,21372.0,21354.0,21359.0,555.0,-8.0,False,-4440.0,0,0,21372.3,-6.2230082864264835,
2025-05-28 09:41,21360.0,21368.0,21347.0,21366.0,700.0,7.0,True,4900.0,0,0,21368.9,-1.3571124391061098,
2025-05-28 09:42,21367.0,21382.0,21367.0,21375.0,1111.0,9.0,True,9999.0,0,0,21368.4,3.0886729937658153,
2025-05-28 09:43,21376.0,21380.0,21369.0,21369.0,483.0,-6.0,False,-2898.0,0,0,21367.7,0.6083949138181799,
2025-05-28 09:44,21368.0,21374.0,21361.0,21361.0,368.0,-8.0,False,-2944.0,0,0,21366.1,-2.3869587804973977,
2025-05-28 09:45,21362.0,21364.0,21342.0,21343.0,1152.0,-18.0,False,-20736.0,0,0,21362.8,-9.268447956260076,
2025-05-28 09:46,21341.0,21352.0,21339.0,21343.0,604.0,0.0,False,0.0,0,0,21360.5,-8.192692118630182,
2025-05-28 09:47,21342.0,21345.0,21337.0,21342.0,435.0,-1.0,False,-435.0,0,0,21358.7,-7.818827924920864,
2025-05-28 09:48,21340.0,21344.0,21334.0,21338.0,607.0,-4.0,False,-2428.0,0,0,21356.3,-8.568900043546527,
2025-05-28 09:49,21340.0,21345.0,21337.0,21339.0,394.0,1.0,True,394.0,0,0,21353.5,-6.790455897159717,
2025-05-28 09:50,21338.0,21348.0,21338.0,21342.0,417.0,3.0,True,1251.0,0,0,21351.8,-4.589776974306275,
2025-05-28 09:51,21339.0,21351.0,21338.0,21343.0,446.0,1.0,True,446.0,0,0,21349.5,-3.044567788472798,
2025-05-28 09:52,21341.0,21344.0,21330.0,21336.0,586.0,-7.0,False,-4102.0,0,0,21345.6,-4.497413986956818,
