時間,開盤,最高,最低,收盤,成交量,收盤差,力道方向,力道,昨收,ATR20,ma10,bias,ACTION,bot
2025-06-17 15:00,22141.0,22149.0,22139.0,22149.0,394.0,0.0,False,0.0,0,0,,0.0,,
2025-06-17 15:01,22149.0,22151.0,22146.0,22149.0,129.0,0.0,False,0.0,0,0,,0.0,,
2025-06-17 15:02,22149.0,22150.0,22142.0,22150.0,144.0,1.0,True,144.0,0,0,,0.0,,
2025-06-17 15:03,22150.0,22150.0,22144.0,22144.0,79.0,-6.0,False,-474.0,0,0,,0.0,,
2025-06-17 15:04,22145.0,22145.0,22132.0,22133.0,242.0,-11.0,False,-2662.0,0,0,,0.0,,
2025-06-17 15:05,22133.0,22136.0,22123.0,22127.0,274.0,-6.0,False,-1644.0,0,0,,0.0,,
2025-06-17 15:06,22128.0,22133.0,22125.0,22130.0,107.0,3.0,True,321.0,0,0,,0.0,,
2025-06-17 15:07,22130.0,22136.0,22129.0,22133.0,98.0,3.0,True,294.0,0,0,,0.0,,
2025-06-17 15:08,22135.0,22137.0,22133.0,22136.0,71.0,3.0,True,213.0,0,0,,0.0,,
2025-06-17 15:09,22136.0,22136.0,22130.0,22130.0,82.0,-6.0,False,-492.0,0,0,22138.1,-3.6588505788656414,,
2025-06-17 15:10,22130.0,22137.0,22130.0,22134.0,53.0,4.0,True,212.0,0,0,22136.6,-1.1745254465448827,,
2025-06-17 15:11,22134.0,22135.0,22127.0,22127.0,89.0,-7.0,False,-623.0,0,0,22134.4,-3.3432123753078713,,
2025-06-17 15:12,22127.0,22127.0,22118.0,22123.0,277.0,-4.0,False,-1108.0,0,0,22131.7,-3.931012981379979,,
2025-06-17 15:13,22123.0,22124.0,22116.0,22117.0,104.0,-6.0,False,-624.0,0,0,22129.0,-5.422748429662434,,
2025-06-17 15:14,22117.0,22123.0,22117.0,22122.0,99.0,5.0,True,495.0,0,0,22127.9,-2.6663171832851087,,
2025-06-17 15:15,22122.0,22122.0,22116.0,22122.0,114.0,0.0,False,0.0,0,0,22127.4,-2.440413243309858,,
2025-06-17 15:16,22122.0,22129.0,22121.0,22127.0,86.0,5.0,True,430.0,0,0,22127.1,-0.045193450564486454,,
2025-06-17 15:17,22127.0,22127.0,22121.0,22125.0,50.0,-2.0,False,-100.0,0,0,22126.3,-0.5875360995734815,,
2025-06-17 15:18,22125.0,22126.0,22121.0,22122.0,60.0,-3.0,False,-180.0,0,0,22124.9,-1.310740387527833,,
2025-06-17 15:19,22122.0,22123.0,22111.0,22115.0,193.0,-7.0,False,-1351.0,0,0,22123.4,-3.7968847464681987,,
2025-06-17 15:20,22115.0,22115.0,22105.0,22105.0,234.0,-10.0,False,-2340.0,0,0,22120.5,-7.007074885287403,,
2025-06-17 15:21,22105.0,22105.0,22093.0,22101.0,329.0,-4.0,False,-1316.0,0,0,22117.9,-7.640870064518537,,
2025-06-17 15:22,22101.0,22101.0,22093.0,22099.0,106.0,-2.0,False,-212.0,0,0,22115.5,-7.460830639144492,,
2025-06-17 15:23,22099.0,22104.0,22096.0,22102.0,110.0,3.0,True,330.0,0,0,22114.0,-5.4264266980193545,,
2025-06-17 15:24,22103.0,22106.0,22101.0,22103.0,101.0,1.0,True,101.0,0,0,22112.1,-4.115393834144448,,
2025-06-17 15:25,22103.0,22103.0,22095.0,22100.0,127.0,-3.0,False,-381.0,0,0,22109.9,-4.4776321919146875,,
2025-06-17 15:26,22100.0,22109.0,22099.0,22107.0,97.0,7.0,True,679.0,0,0,22107.9,-0.4070942966095627,,
2025-06-17 15:27,22107.0,22109.0,22104.0,22106.0,54.0,-1.0,False,-54.0,0,0,22106.0,0.0,,
2025-06-17 15:28,22106.0,22108.0,22104.0,22106.0,47.0,0.0,False,0.0,0,0,22104.4,0.7238377879510617,,
2025-06-17 15:29,22106.0,22108.0,22105.0,22106.0,44.0,0.0,False,0.0,0,0,22103.5,1.13104259506413,,
2025-06-17 15:30,22106.0,22110.0,22104.0,22104.0,127.0,-2.0,False,-254.0,0,0,22103.4,0.27145145090734674,,
2025-06-17 15:31,22103.0,22115.0,22103.0,22115.0,106.0,11.0,True,1166.0,0,0,22104.8,4.614382396583877,,
2025-06-17 15:32,22117.0,22120.0,22115.0,22120.0,182.0,5.0,True,910.0,0,0,22106.9,5.9257516883862245,,
2025-06-17 15:33,22120.0,22124.0,22119.0,22121.0,126.0,1.0,True,126.0,0,0,22108.8,5.518164712693918,,
2025-06-17 15:34,22121.0,22122.0,22117.0,22120.0,70.0,-1.0,False,-70.0,0,0,22110.5,4.296601162343682,,
2025-06-17 15:35,22119.0,22120.0,22116.0,22118.0,50.0,-2.0,False,-100.0,0,0,22112.3,2.5777508445529085,,
2025-06-17 15:36,22118.0,22119.0,22114.0,22114.0,74.0,-4.0,False,-296.0,0,0,22113.0,0.45222267444489667,,
2025-06-17 15:37,22114.0,22115.0,22110.0,22115.0,85.0,1.0,True,85.0,0,0,22113.9,0.497424696683328,,
2025-06-17 15:38,22115.0,22115.0,22113.0,22114.0,24.0,-1.0,False,-24.0,0,0,22114.7,-0.31653153784619625,,
