時間,開盤,最高,最低,收盤,成交量,收盤差,力道方向,力道,昨收,ATR20,ma10,bias,ACTION,bot
2025-06-19 08:45,21814.0,21818.0,21806.0,21806.0,1731.0,0.0,False,0.0,0,0,,0.0,,
2025-06-19 08:46,21806.0,21810.0,21787.0,21790.0,1061.0,-16.0,False,-16976.0,0,0,,0.0,,
2025-06-19 08:47,21790.0,21812.0,21788.0,21810.0,607.0,20.0,True,12140.0,0,0,,0.0,,
2025-06-19 08:48,21810.0,21816.0,21805.0,21805.0,433.0,-5.0,False,-2165.0,0,0,,0.0,,
2025-06-19 08:49,21807.0,21807.0,21786.0,21787.0,595.0,-18.0,False,-10710.0,0,0,,0.0,,
2025-06-19 08:50,21785.0,21798.0,21785.0,21795.0,383.0,8.0,True,3064.0,0,0,,0.0,,
2025-06-19 08:51,21796.0,21804.0,21794.0,21794.0,293.0,-1.0,False,-293.0,0,0,,0.0,,
2025-06-19 08:52,21796.0,21796.0,21782.0,21792.0,577.0,-2.0,False,-1154.0,0,0,,0.0,,
2025-06-19 08:53,21789.0,21790.0,21781.0,21782.0,504.0,-10.0,False,-5040.0,0,0,,0.0,,
2025-06-19 08:54,21784.0,21791.0,21783.0,21788.0,281.0,6.0,True,1686.0,0,0,21794.9,-3.1658782559229244,,
2025-06-19 08:55,21787.0,21810.0,21786.0,21804.0,578.0,16.0,True,9248.0,0,0,21794.7,4.267092458257866,,
2025-06-19 08:56,21806.0,21833.0,21804.0,21833.0,844.0,29.0,True,24476.0,0,0,21799.0,15.597045736042936,,
2025-06-19 08:57,21829.0,21835.0,21817.0,21825.0,868.0,-8.0,False,-6944.0,0,0,21800.5,11.238274351505698,,
2025-06-19 08:58,21824.0,21838.0,21823.0,21829.0,530.0,4.0,True,2120.0,0,0,21802.9,11.970884607092884,,
2025-06-19 08:59,21830.0,21847.0,21827.0,21847.0,636.0,18.0,True,11448.0,0,0,21808.9,17.469932000237765,,
2025-06-19 09:00,21850.0,21853.0,21837.0,21837.0,1221.0,-10.0,False,-12210.0,0,0,21813.1,10.956718669057334,,
2025-06-19 09:01,21837.0,21842.0,21830.0,21837.0,668.0,0.0,False,0.0,0,0,21817.4,8.983655247645705,,
2025-06-19 09:02,21840.0,21842.0,21811.0,21815.0,971.0,-22.0,False,-21362.0,0,0,21819.7,-2.154016782999183,,
2025-06-19 09:03,21812.0,21816.0,21804.0,21812.0,882.0,-3.0,False,-2646.0,0,0,21822.7,-4.903151305750767,,
2025-06-19 09:04,21812.0,21817.0,21768.0,21768.0,2213.0,-44.0,False,-97372.0,0,0,21820.7,-24.151379194984912,,
2025-06-19 09:05,21766.0,21788.0,21760.0,21778.0,1914.0,10.0,True,19140.0,0,0,21818.1,-18.37923558879946,,
2025-06-19 09:06,21779.0,21784.0,21773.0,21779.0,674.0,1.0,True,674.0,0,0,21812.7,-15.449715074246072,,
2025-06-19 09:07,21779.0,21788.0,21777.0,21786.0,508.0,7.0,True,3556.0,0,0,21808.8,-10.454495433035872,,
2025-06-19 09:08,21786.0,21804.0,21782.0,21801.0,824.0,15.0,True,12360.0,0,0,21806.0,-2.2929468953499037,,
2025-06-19 09:09,21799.0,21804.0,21786.0,21798.0,645.0,-3.0,False,-1935.0,0,0,21801.1,-1.4219465990241524,,
2025-06-19 09:10,21798.0,21799.0,21778.0,21784.0,620.0,-14.0,False,-8680.0,0,0,21795.8,-5.413887079161706,,
2025-06-19 09:11,21784.0,21790.0,21781.0,21785.0,375.0,1.0,True,375.0,0,0,21790.6,-2.5699154681369696,,
2025-06-19 09:12,21784.0,21786.0,21775.0,21779.0,450.0,-6.0,False,-2700.0,0,0,21787.0,-3.6719144443934453,,
2025-06-19 09:13,21779.0,21785.0,21774.0,21782.0,432.0,3.0,True,1296.0,0,0,21784.0,-0.918105031215571,,
2025-06-19 09:14,21782.0,21785.0,21774.0,21774.0,430.0,-8.0,False,-3440.0,0,0,21784.6,-4.865822645354307,,
2025-06-19 09:15,21779.0,21796.0,21777.0,21796.0,565.0,22.0,True,12430.0,0,0,21786.4,4.406418683214548,,
2025-06-19 09:16,21796.0,21798.0,21779.0,21784.0,447.0,-12.0,False,-5364.0,0,0,21786.9,-1.3310750955856294,,
2025-06-19 09:17,21784.0,21800.0,21780.0,21799.0,439.0,15.0,True,6585.0,0,0,21788.2,4.9568114851154625,,
2025-06-19 09:18,21798.0,21803.0,21790.0,21790.0,513.0,-9.0,False,-4617.0,0,0,21787.1,1.331062876657038,,
2025-06-19 09:19,21791.0,21795.0,21781.0,21781.0,292.0,-9.0,False,-2628.0,0,0,21785.4,-2.0197012678222364,,
2025-06-19 09:20,21781.0,21782.0,21768.0,21768.0,744.0,-13.0,False,-9672.0,0,0,21783.8,-7.253096337645073,,
2025-06-19 09:21,21768.0,21783.0,21764.0,21780.0,685.0,12.0,True,8220.0,0,0,21783.3,-1.514921981517618,,
2025-06-19 09:22,21779.0,21785.0,21772.0,21781.0,291.0,1.0,True,291.0,0,0,21783.5,-1.147657630775587,,
2025-06-19 09:23,21778.0,21792.0,21768.0,21772.0,591.0,-9.0,False,-5319.0,0,0,21782.5,-4.820383335246183,,
2025-06-19 09:24,21773.0,21781.0,21770.0,21775.0,249.0,3.0,True,747.0,0,0,21782.6,-3.4890233489108486,,
2025-06-19 09:25,21776.0,21776.0,21757.0,21763.0,1279.0,-12.0,False,-15348.0,0,0,21779.3,-7.484170749289129,,
2025-06-19 09:26,21764.0,21775.0,21764.0,21772.0,442.0,9.0,True,3978.0,0,0,21778.1,-2.800978965106481,,
2025-06-19 09:27,21772.0,21779.0,21760.0,21761.0,469.0,-11.0,False,-5159.0,0,0,21774.3,-6.108118286236192,,
2025-06-19 09:28,21762.0,21765.0,21755.0,21758.0,440.0,-3.0,False,-1320.0,0,0,21771.1,-6.017151177477732,,
2025-06-19 09:29,21756.0,21759.0,21730.0,21733.0,2237.0,-25.0,False,-55925.0,0,0,21766.3,-15.298879460449994,,
2025-06-19 09:30,21730.0,21745.0,21725.0,21737.0,1273.0,4.0,True,5092.0,0,0,21763.2,-12.038670783708612,,
2025-06-19 09:31,21734.0,21741.0,21732.0,21736.0,405.0,-1.0,False,-405.0,0,0,21758.8,-10.478519035975916,,
2025-06-19 09:32,21736.0,21751.0,21736.0,21750.0,513.0,14.0,True,7182.0,0,0,21755.7,-2.6200030336880573,,
2025-06-19 09:33,21746.0,21749.0,21741.0,21743.0,347.0,-7.0,False,-2429.0,0,0,21752.8,-4.505167150895183,,
2025-06-19 09:34,21741.0,21744.0,21733.0,21733.0,402.0,-10.0,False,-4020.0,0,0,21748.6,-7.17287549543352,,
2025-06-19 09:35,21733.0,21739.0,21720.0,21738.0,1174.0,5.0,True,5870.0,0,0,21746.1,-3.7248058272511138,,
2025-06-19 09:36,21738.0,21749.0,21735.0,21748.0,494.0,10.0,True,4940.0,0,0,21743.7,1.9775843117773297,,
2025-06-19 09:37,21748.0,21750.0,21733.0,21733.0,548.0,-15.0,False,-8220.0,0,0,21740.9,-3.633704216477448,,
2025-06-19 09:38,21733.0,21742.0,21725.0,21726.0,468.0,-7.0,False,-3276.0,0,0,21737.7,-5.38235415890399,,
2025-06-19 09:39,21724.0,21725.0,21715.0,21715.0,1138.0,-11.0,False,-12518.0,0,0,21735.9,-9.615428852728185,,
2025-06-19 09:40,21715.0,21733.0,21713.0,21727.0,694.0,12.0,True,8328.0,0,0,21734.9,-3.634707314043982,,
2025-06-19 09:41,21726.0,21732.0,21715.0,21715.0,349.0,-12.0,False,-4188.0,0,0,21732.8,-8.19038504012335,,
2025-06-19 09:42,21717.0,21726.0,21711.0,21724.0,479.0,9.0,True,4311.0,0,0,21730.2,-2.853172083092069,,
2025-06-19 09:43,21724.0,21725.0,21716.0,21716.0,280.0,-8.0,False,-2240.0,0,0,21727.5,-5.292831664940744,,
2025-06-19 09:44,21715.0,21718.0,21705.0,21705.0,825.0,-11.0,False,-9075.0,0,0,21724.7,-9.068019351245692,,
2025-06-19 09:45,21706.0,21720.0,21704.0,21718.0,949.0,13.0,True,12337.0,0,0,21722.7,-2.163635275541589,,
2025-06-19 09:46,21716.0,21728.0,21714.0,21721.0,566.0,3.0,True,1698.0,0,0,21720.0,0.4604051565377532,,
2025-06-19 09:47,21720.0,21736.0,21720.0,21730.0,580.0,9.0,True,5220.0,0,0,21719.7,4.74223861287185,,
2025-06-19 09:48,21732.0,21737.0,21721.0,21725.0,464.0,-5.0,False,-2320.0,0,0,21719.6,2.486233632295924,,
2025-06-19 09:49,21725.0,21736.0,21721.0,21733.0,340.0,8.0,True,2720.0,0,0,21721.4,5.340355594021815,,
2025-06-19 09:50,21732.0,21733.0,21724.0,21727.0,330.0,-6.0,False,-1980.0,0,0,21721.4,2.578102700561909,,
2025-06-19 09:51,21727.0,21731.0,21723.0,21727.0,255.0,0.0,False,0.0,0,0,21722.6,2.025540220784554,,
2025-06-19 09:52,21729.0,21732.0,21725.0,21730.0,155.0,3.0,True,465.0,0,0,21723.2,3.1302938793544564,,
2025-06-19 09:53,21727.0,21731.0,21723.0,21725.0,291.0,-5.0,False,-1455.0,0,0,21724.1,0.41428643764365625,,
2025-06-19 09:54,21725.0,21725.0,21709.0,21713.0,534.0,-12.0,False,-6408.0,0,0,21724.9,-5.477585627552465,,
2025-06-19 09:55,21712.0,21722.0,21707.0,21716.0,389.0,3.0,True,1167.0,0,0,21724.7,-4.00465829217468,,
2025-06-19 09:56,21713.0,21725.0,21708.0,21719.0,315.0,3.0,True,945.0,0,0,21724.5,-2.531703836682087,,
2025-06-19 09:57,21719.0,21733.0,21717.0,21732.0,348.0,13.0,True,4524.0,0,0,21724.7,3.360230521019518,,
