時間,開盤,最高,最低,收盤,成交量,收盤差,力道和,最大力道和,最小力道和,最大力道和差,最小力道和差,力道,昨收,ATR20,ma10,bias,ACTION,bot
2025-06-20 15:00,21643.0,21651.0,21641.0,21648.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,,
2025-06-20 15:01,21652.0,21658.0,21645.0,21658.0,236.0,10.0,2360.0,2360.0,0.0,0.0,2360.0,2360.0,0,0,,0.0,,
2025-06-20 15:02,21658.0,21659.0,21642.0,21643.0,204.0,-15.0,-700.0,2360.0,-700.0,3060.0,0.0,-3060.0,0,0,,0.0,,
2025-06-20 15:03,21644.0,21654.0,21642.0,21649.0,108.0,6.0,-52.0,2360.0,-700.0,2412.0,648.0,648.0,0,0,,0.0,,
2025-06-20 15:04,21649.0,21650.0,21637.0,21640.0,152.0,-9.0,-1420.0,2360.0,-1420.0,3780.0,0.0,-1368.0,0,0,,0.0,,
2025-06-20 15:05,21640.0,21640.0,21629.0,21633.0,267.0,-7.0,-3289.0,2360.0,-3289.0,5649.0,0.0,-1869.0,0,0,,0.0,,
2025-06-20 15:06,21634.0,21635.0,21626.0,21630.0,194.0,-3.0,-3871.0,2360.0,-3871.0,6231.0,0.0,-582.0,0,0,,0.0,,
2025-06-20 15:07,21631.0,21631.0,21616.0,21625.0,294.0,-5.0,-5341.0,2360.0,-5341.0,7701.0,0.0,-1470.0,0,0,,0.0,,
2025-06-20 15:08,21625.0,21630.0,21622.0,21628.0,116.0,3.0,-4993.0,2360.0,-5341.0,7353.0,348.0,348.0,0,0,,0.0,,
2025-06-20 15:09,21628.0,21628.0,21622.0,21625.0,95.0,-3.0,-5278.0,2360.0,-5341.0,7638.0,63.0,-285.0,0,0,21637.9,-5.961761538782162,,
2025-06-20 15:10,21626.0,21630.0,21624.0,21626.0,86.0,1.0,-5192.0,2360.0,-5341.0,7552.0,149.0,86.0,0,0,21635.7,-4.483330791238891,,
2025-06-20 15:11,21626.0,21633.0,21626.0,21633.0,87.0,7.0,-4583.0,2360.0,-5341.0,6943.0,758.0,609.0,0,0,21633.2,-0.09245049276146274,,
2025-06-20 15:12,21633.0,21637.0,21628.0,21629.0,165.0,-4.0,-5243.0,2360.0,-5341.0,7603.0,98.0,-660.0,0,0,21631.8,-1.294390665593835,,
2025-06-20 15:13,21629.0,21636.0,21629.0,21632.0,45.0,3.0,-5108.0,2360.0,-5341.0,7468.0,233.0,135.0,0,0,21630.1,0.8784055552223315,,
2025-06-20 15:14,21632.0,21635.0,21628.0,21628.0,65.0,-4.0,-5368.0,2360.0,-5368.0,7728.0,0.0,-260.0,0,0,21628.9,-0.4161099269964978,,
2025-06-20 15:15,21628.0,21632.0,21627.0,21628.0,52.0,0.0,-5368.0,2360.0,-5368.0,7728.0,0.0,0.0,0,0,21628.4,-0.1849420206771907,,
2025-06-20 15:16,21628.0,21635.0,21628.0,21630.0,71.0,2.0,-5226.0,2360.0,-5368.0,7586.0,142.0,142.0,0,0,21628.4,0.7397680827053987,,
2025-06-20 15:17,21630.0,21632.0,21626.0,21632.0,91.0,2.0,-5044.0,2360.0,-5368.0,7404.0,324.0,182.0,0,0,21629.1,1.3407862555545331,,
2025-06-20 15:18,21632.0,21633.0,21630.0,21632.0,27.0,0.0,-5044.0,2360.0,-5368.0,7404.0,324.0,0.0,0,0,21629.5,1.1558288448646525,,
2025-06-20 15:19,21632.0,21633.0,21628.0,21633.0,55.0,1.0,-4989.0,2360.0,-5368.0,7349.0,379.0,55.0,0,0,21630.3,1.2482489840643578,,
2025-06-20 15:20,21633.0,21635.0,21630.0,21633.0,43.0,0.0,-4989.0,2360.0,-5368.0,7349.0,379.0,0.0,0,0,21631.0,0.9245989552031806,,
2025-06-20 15:21,21633.0,21634.0,21632.0,21633.0,25.0,0.0,-4989.0,2360.0,-5368.0,7349.0,379.0,0.0,0,0,21631.0,0.9245989552031806,,
2025-06-20 15:22,21633.0,21644.0,21632.0,21644.0,143.0,11.0,-3416.0,2360.0,-5368.0,5776.0,1952.0,1573.0,0,0,21632.5,5.316075349589737,,
2025-06-20 15:23,21644.0,21645.0,21639.0,21639.0,132.0,-5.0,-4076.0,2360.0,-5368.0,6436.0,1292.0,-660.0,0,0,21633.2,2.6810642900723294,,
2025-06-20 15:24,21639.0,21639.0,21634.0,21635.0,100.0,-4.0,-4476.0,2360.0,-5368.0,6836.0,892.0,-400.0,0,0,21633.9,0.5084612575626885,,
2025-06-20 15:25,21635.0,21640.0,21635.0,21640.0,22.0,5.0,-4366.0,2360.0,-5368.0,6726.0,1002.0,110.0,0,0,21635.1,2.264838156514856,,
2025-06-20 15:26,21640.0,21644.0,21639.0,21643.0,46.0,3.0,-4228.0,2360.0,-5368.0,6588.0,1140.0,138.0,0,0,21636.4,3.050415041318585,,
2025-06-20 15:27,21643.0,21651.0,21642.0,21651.0,179.0,8.0,-2796.0,2360.0,-5368.0,5156.0,2572.0,1432.0,0,0,21638.3,5.869222628395359,,
