時間,開盤,最高,最低,收盤,成交量,收盤差,力道和,最大力道和,最小力道和,最大力道和差,最小力道和差,力道,昨收,ATR20,ma10,bias,ACTION,bot
2025-06-20 08:45,21664.0,21672.0,21646.0,21649.0,3517.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,,
2025-06-20 08:46,21655.0,21676.0,21654.0,21664.0,1453.0,15.0,21795.0,21795.0,0.0,0.0,21795.0,21795.0,0,0,,0.0,,
2025-06-20 08:47,21664.0,21678.0,21663.0,21678.0,708.0,14.0,31707.0,31707.0,0.0,0.0,31707.0,9912.0,0,0,,0.0,,
2025-06-20 08:48,21675.0,21690.0,21659.0,21659.0,1427.0,-19.0,4594.0,31707.0,0.0,27113.0,4594.0,-27113.0,0,0,,0.0,,
2025-06-20 08:49,21661.0,21661.0,21642.0,21644.0,1022.0,-15.0,-10736.0,31707.0,-10736.0,42443.0,0.0,-15330.0,0,0,,0.0,,
2025-06-20 08:50,21646.0,21656.0,21638.0,21639.0,760.0,-5.0,-14536.0,31707.0,-14536.0,46243.0,0.0,-3800.0,0,0,,0.0,,
2025-06-20 08:51,21639.0,21648.0,21635.0,21645.0,623.0,6.0,-10798.0,31707.0,-14536.0,42505.0,3738.0,3738.0,0,0,,0.0,,
2025-06-20 08:52,21645.0,21652.0,21641.0,21642.0,303.0,-3.0,-11707.0,31707.0,-14536.0,43414.0,2829.0,-909.0,0,0,,0.0,,
2025-06-20 08:53,21642.0,21649.0,21642.0,21647.0,260.0,5.0,-10407.0,31707.0,-14536.0,42114.0,4129.0,1300.0,0,0,,0.0,,
2025-06-20 08:54,21648.0,21660.0,21648.0,21659.0,346.0,12.0,-6255.0,31707.0,-14536.0,37962.0,8281.0,4152.0,0,0,21652.6,2.955765127514227,,
2025-06-20 08:55,21660.0,21666.0,21650.0,21665.0,542.0,6.0,-3003.0,31707.0,-14536.0,34710.0,11533.0,3252.0,0,0,21654.2,4.98748510681497,,
2025-06-20 08:56,21665.0,21665.0,21657.0,21659.0,225.0,-6.0,-4353.0,31707.0,-14536.0,36060.0,10183.0,-1350.0,0,0,21653.7,2.4476186517774203,,
2025-06-20 08:57,21660.0,21667.0,21657.0,21661.0,335.0,2.0,-3683.0,31707.0,-14536.0,35390.0,10853.0,670.0,0,0,21652.0,4.156659892850545,,
2025-06-20 08:58,21662.0,21672.0,21660.0,21669.0,350.0,8.0,-883.0,31707.0,-14536.0,32590.0,13653.0,2800.0,0,0,21653.0,7.38927631275112,,
2025-06-20 08:59,21670.0,21682.0,21670.0,21673.0,694.0,4.0,1893.0,31707.0,-14536.0,29814.0,16429.0,2776.0,0,0,21655.9,7.896231511966043,,
2025-06-20 09:00,21673.0,21686.0,21667.0,21680.0,837.0,7.0,7752.0,31707.0,-14536.0,23955.0,22288.0,5859.0,0,0,21660.0,9.233610341643582,,
