時間,開盤,最高,最低,收盤,成交量,收盤差,力道和,最大力道和,最小力道和,最大力道和差,最小力道和差,力道,ACTION,bot
2025-08-19 15:00,24355.0,24361.0,24353.0,24357.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2025-08-19 15:01,24357.0,24360.0,24354.0,24355.0,99.0,-2.0,-198.0,0.0,-198.0,198.0,0.0,-198.0,,
2025-08-19 15:02,24355.0,24357.0,24350.0,24352.0,72.0,-3.0,-414.0,0.0,-414.0,414.0,0.0,-216.0,,
2025-08-19 15:03,24353.0,24357.0,24352.0,24357.0,49.0,5.0,-169.0,0.0,-414.0,169.0,245.0,245.0,,
2025-08-19 15:04,24357.0,24357.0,24350.0,24350.0,69.0,-7.0,-652.0,0.0,-652.0,652.0,0.0,-483.0,,
2025-08-19 15:05,24350.0,24351.0,24346.0,24346.0,87.0,-4.0,-1000.0,0.0,-1000.0,1000.0,0.0,-348.0,,
2025-08-19 15:06,24347.0,24350.0,24346.0,24347.0,46.0,1.0,-954.0,0.0,-1000.0,954.0,46.0,46.0,,
2025-08-19 15:07,24346.0,24348.0,24338.0,24338.0,151.0,-9.0,-2313.0,0.0,-2313.0,2313.0,0.0,-1359.0,,
2025-08-19 15:08,24338.0,24345.0,24338.0,24345.0,60.0,7.0,-1893.0,0.0,-2313.0,1893.0,420.0,420.0,,
2025-08-19 15:09,24345.0,24345.0,24340.0,24342.0,32.0,-3.0,-1989.0,0.0,-2313.0,1989.0,324.0,-96.0,,
2025-08-19 15:10,24342.0,24346.0,24340.0,24345.0,67.0,3.0,-1788.0,0.0,-2313.0,1788.0,525.0,201.0,,
2025-08-19 15:11,24345.0,24348.0,24345.0,24346.0,31.0,1.0,-1757.0,0.0,-2313.0,1757.0,556.0,31.0,,
2025-08-19 15:12,24346.0,24347.0,24345.0,24346.0,27.0,0.0,-1757.0,0.0,-2313.0,1757.0,556.0,0.0,,
2025-08-19 15:13,24346.0,24349.0,24345.0,24346.0,37.0,0.0,-1757.0,0.0,-2313.0,1757.0,556.0,0.0,,
2025-08-19 15:14,24346.0,24349.0,24345.0,24349.0,12.0,3.0,-1721.0,0.0,-2313.0,1721.0,592.0,36.0,,
2025-08-19 15:15,24349.0,24356.0,24347.0,24354.0,104.0,5.0,-1201.0,0.0,-2313.0,1201.0,1112.0,520.0,,
2025-08-19 15:16,24354.0,24354.0,24348.0,24350.0,33.0,-4.0,-1333.0,0.0,-2313.0,1333.0,980.0,-132.0,,
2025-08-19 15:17,24350.0,24352.0,24350.0,24351.0,14.0,1.0,-1319.0,0.0,-2313.0,1319.0,994.0,14.0,,
2025-08-19 15:18,24351.0,24351.0,24348.0,24349.0,16.0,-2.0,-1351.0,0.0,-2313.0,1351.0,962.0,-32.0,,
2025-08-19 15:19,24349.0,24352.0,24349.0,24352.0,18.0,3.0,-1297.0,0.0,-2313.0,1297.0,1016.0,54.0,,
