時間,開盤,最高,最低,收盤,成交量,收盤差,力道和,最大力道和,最小力道和,最大力道和差,最小力道和差,力道,ACTION,bot
2025-08-20 08:45,24162.0,24187.0,24162.0,24187.0,2197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2025-08-20 08:46,24187.0,24203.0,24186.0,24198.0,817.0,11.0,8987.0,8987.0,0.0,0.0,8987.0,8987.0,,
2025-08-20 08:47,24198.0,24198.0,24175.0,24178.0,659.0,-20.0,-4193.0,8987.0,-4193.0,13180.0,0.0,-13180.0,,
2025-08-20 08:48,24181.0,24190.0,24178.0,24186.0,298.0,8.0,-1809.0,8987.0,-4193.0,10796.0,2384.0,2384.0,,
2025-08-20 08:49,24184.0,24184.0,24171.0,24175.0,407.0,-11.0,-6286.0,8987.0,-6286.0,15273.0,0.0,-4477.0,,
2025-08-20 08:50,24175.0,24175.0,24165.0,24167.0,489.0,-8.0,-10198.0,8987.0,-10198.0,19185.0,0.0,-3912.0,,
2025-08-20 08:51,24167.0,24177.0,24166.0,24177.0,379.0,10.0,-6408.0,8987.0,-10198.0,15395.0,3790.0,3790.0,,
2025-08-20 08:52,24175.0,24182.0,24161.0,24170.0,504.0,-7.0,-9936.0,8987.0,-10198.0,18923.0,262.0,-3528.0,,
2025-08-20 08:53,24168.0,24168.0,24160.0,24161.0,208.0,-9.0,-11808.0,8987.0,-11808.0,20795.0,0.0,-1872.0,,
2025-08-20 08:54,24161.0,24162.0,24146.0,24147.0,687.0,-14.0,-21426.0,8987.0,-21426.0,30413.0,0.0,-9618.0,,
2025-08-20 08:55,24146.0,24153.0,24145.0,24149.0,499.0,2.0,-20428.0,8987.0,-21426.0,29415.0,998.0,998.0,,
2025-08-20 08:56,24150.0,24157.0,24149.0,24153.0,228.0,4.0,-19516.0,8987.0,-21426.0,28503.0,1910.0,912.0,,
2025-08-20 08:57,24153.0,24155.0,24124.0,24134.0,1085.0,-19.0,-40131.0,8987.0,-40131.0,49118.0,0.0,-20615.0,,
2025-08-20 08:58,24134.0,24134.0,24121.0,24125.0,538.0,-9.0,-44973.0,8987.0,-44973.0,53960.0,0.0,-4842.0,,
2025-08-20 08:59,24126.0,24126.0,24104.0,24104.0,907.0,-21.0,-64020.0,8987.0,-64020.0,73007.0,0.0,-19047.0,,
2025-08-20 09:00,24105.0,24136.0,24088.0,24128.0,2003.0,24.0,-15948.0,8987.0,-64020.0,24935.0,48072.0,48072.0,,
2025-08-20 09:01,24122.0,24133.0,24080.0,24088.0,1709.0,-40.0,-84308.0,8987.0,-84308.0,93295.0,0.0,-68360.0,,
2025-08-20 09:02,24092.0,24139.0,24092.0,24134.0,1206.0,46.0,-28832.0,8987.0,-84308.0,37819.0,55476.0,55476.0,,
2025-08-20 09:03,24131.0,24135.0,24120.0,24131.0,522.0,-3.0,-30398.0,8987.0,-84308.0,39385.0,53910.0,-1566.0,,
2025-08-20 09:04,24133.0,24134.0,24121.0,24125.0,404.0,-6.0,-32822.0,8987.0,-84308.0,41809.0,51486.0,-2424.0,,
2025-08-20 09:05,24124.0,24124.0,24112.0,24115.0,493.0,-10.0,-37752.0,8987.0,-84308.0,46739.0,46556.0,-4930.0,,
2025-08-20 09:06,24115.0,24118.0,24095.0,24105.0,636.0,-10.0,-44112.0,8987.0,-84308.0,53099.0,40196.0,-6360.0,,
2025-08-20 09:07,24108.0,24117.0,24090.0,24091.0,545.0,-14.0,-51742.0,8987.0,-84308.0,60729.0,32566.0,-7630.0,,
2025-08-20 09:08,24091.0,24095.0,24058.0,24058.0,1611.0,-33.0,-104905.0,8987.0,-104905.0,113892.0,0.0,-53163.0,,
2025-08-20 09:09,24055.0,24057.0,24028.0,24028.0,1943.0,-30.0,-163195.0,8987.0,-163195.0,172182.0,0.0,-58290.0,,
