時間,開盤,最高,最低,收盤,成交量,收盤差,力道方向,力道,昨收,ATR20,ma10,bias,ACTION,bot
2025-06-18 18:46,21847.0,21847.0,21842.0,21842.0,27087.0,0.0,False,0.0,0,0,,0.0,,
2025-06-18 18:47,21841.0,21842.0,21838.0,21839.0,154.0,-3.0,False,-462.0,0,0,,0.0,,
2025-06-18 18:48,21838.0,21840.0,21836.0,21839.0,121.0,0.0,False,0.0,0,0,,0.0,,
2025-06-18 18:49,21839.0,21840.0,21838.0,21838.0,67.0,-1.0,False,-67.0,0,0,,0.0,,
2025-06-18 18:50,21838.0,21845.0,21838.0,21840.0,146.0,2.0,True,292.0,0,0,,0.0,,
2025-06-18 18:51,21839.0,21840.0,21834.0,21838.0,196.0,-2.0,False,-392.0,0,0,,0.0,,
2025-06-18 18:52,21838.0,21840.0,21827.0,21827.0,334.0,-11.0,False,-3674.0,0,0,,0.0,,
2025-06-18 18:53,21827.0,21829.0,21817.0,21820.0,445.0,-7.0,False,-3115.0,0,0,,0.0,,
2025-06-18 18:54,21819.0,21821.0,21814.0,21817.0,309.0,-3.0,False,-927.0,0,0,,0.0,,
2025-06-18 18:55,21817.0,21817.0,21812.0,21815.0,208.0,-2.0,False,-416.0,0,0,21831.5,-7.557886540091153,,
2025-06-18 18:56,21816.0,21816.0,21805.0,21808.0,464.0,-7.0,False,-3248.0,0,0,21828.1,-9.208314053902331,,
2025-06-18 18:57,21808.0,21808.0,21802.0,21806.0,339.0,-2.0,False,-678.0,0,0,21824.8,-8.614053737032766,,
2025-06-18 18:58,21806.0,21808.0,21795.0,21807.0,689.0,1.0,True,689.0,0,0,21821.6,-6.690618469772403,,
2025-06-18 18:59,21805.0,21808.0,21800.0,21800.0,249.0,-7.0,False,-1743.0,0,0,21817.8,-8.158476106664866,,
2025-06-18 19:00,21802.0,21804.0,21789.0,21798.0,547.0,-2.0,False,-1094.0,0,0,21813.6,-7.151501815380563,,
2025-06-18 19:01,21798.0,21801.0,21793.0,21797.0,188.0,-1.0,False,-188.0,0,0,21809.5,-5.731447305073477,,
2025-06-18 19:02,21797.0,21801.0,21792.0,21799.0,204.0,2.0,True,408.0,0,0,21806.7,-3.5310248685040504,,
2025-06-18 19:03,21801.0,21807.0,21800.0,21802.0,224.0,3.0,True,672.0,0,0,21804.9,-1.329976289733709,,
2025-06-18 19:04,21802.0,21802.0,21793.0,21802.0,152.0,0.0,False,0.0,0,0,21803.4,-0.6421016905626898,,
