時間,開盤,最高,最低,收盤,成交量,收盤差,力道和,最大力道和,最小力道和,最大力道和差,最小力道和差,力道,昨收,ATR20,ma10,bias,ACTION,bot
2025-6-19 15:00,21680.0,21690.0,21678.0,21685.0,876.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,,
2025-6-19 15:01,21686.0,21699.0,21685.0,21695.0,222.0,10.0,2220.0,2220.0,0.0,0.0,2220.0,2220.0,0,0,,0.0,,
2025-6-19 15:02,21697.0,21698.0,21687.0,21688.0,128.0,-7.0,1324.0,2220.0,0.0,896.0,1324.0,-896.0,0,0,,0.0,,
2025-6-19 15:03,21688.0,21690.0,21683.0,21686.0,158.0,-2.0,1008.0,2220.0,0.0,1212.0,1008.0,-316.0,0,0,,0.0,,
2025-6-19 15:04,21686.0,21689.0,21679.0,21680.0,183.0,-6.0,-90.0,2220.0,-90.0,2310.0,0.0,-1098.0,0,0,,0.0,,
2025-6-19 15:05,21683.0,21685.0,21664.0,21664.0,328.0,-16.0,-5338.0,2220.0,-5338.0,7558.0,0.0,-5248.0,0,0,,0.0,,
2025-6-19 15:06,21663.0,21669.0,21662.0,21663.0,317.0,-1.0,-5655.0,2220.0,-5655.0,7875.0,0.0,-317.0,0,0,,0.0,,
2025-6-19 15:07,21662.0,21662.0,21643.0,21645.0,762.0,-18.0,-19371.0,2220.0,-19371.0,21591.0,0.0,-13716.0,0,0,,0.0,,
2025-6-19 15:08,21645.0,21645.0,21635.0,21642.0,461.0,-3.0,-20754.0,2220.0,-20754.0,22974.0,0.0,-1383.0,0,0,,0.0,,
2025-6-19 15:09,21644.0,21644.0,21635.0,21637.0,248.0,-5.0,-21994.0,2220.0,-21994.0,24214.0,0.0,-1240.0,0,0,21668.5,-14.537231465029882,,
2025-6-19 15:10,21636.0,21644.0,21633.0,21644.0,435.0,7.0,-18949.0,2220.0,-21994.0,21169.0,3045.0,3045.0,0,0,21664.4,-9.416369712524443,,
2025-6-19 15:11,21644.0,21650.0,21642.0,21650.0,226.0,6.0,-17593.0,2220.0,-21994.0,19813.0,4401.0,1356.0,0,0,21659.9,-4.570658220952754,,
2025-6-19 15:12,21650.0,21650.0,21642.0,21645.0,144.0,-5.0,-18313.0,2220.0,-21994.0,20533.0,3681.0,-720.0,0,0,21655.6,-4.8948078095266565,,
2025-6-19 15:13,21645.0,21648.0,21640.0,21644.0,140.0,-1.0,-18453.0,2220.0,-21994.0,20673.0,3541.0,-140.0,0,0,21651.4,-3.4177928448051644,,
2025-6-19 15:14,21644.0,21645.0,21632.0,21644.0,324.0,0.0,-18453.0,2220.0,-21994.0,20673.0,3541.0,0.0,0,0,21647.8,-1.7553746801057257,,
2025-6-19 15:15,21644.0,21646.0,21638.0,21639.0,157.0,-5.0,-19238.0,2220.0,-21994.0,21458.0,2756.0,-785.0,0,0,21645.3,-2.9105625701650117,,
2025-6-19 15:16,21639.0,21641.0,21634.0,21634.0,233.0,-5.0,-20403.0,2220.0,-21994.0,22623.0,1591.0,-1165.0,0,0,21642.4,-3.8812700994351155,,
2025-6-19 15:17,21634.0,21634.0,21625.0,21632.0,445.0,-2.0,-21293.0,2220.0,-21994.0,23513.0,701.0,-890.0,0,0,21641.1,-4.204961854988214,,
2025-6-19 15:18,21634.0,21636.0,21630.0,21635.0,153.0,3.0,-20834.0,2220.0,-21994.0,23054.0,1160.0,459.0,0,0,21640.4,-2.495332803460867,,
2025-6-19 15:19,21636.0,21639.0,21632.0,21632.0,125.0,-3.0,-21209.0,2220.0,-21994.0,23429.0,785.0,-375.0,0,0,21639.9,-3.650663820073778,,
2025-6-19 15:20,21631.0,21632.0,21616.0,21626.0,487.0,-6.0,-24131.0,2220.0,-24131.0,26351.0,0.0,-2922.0,0,0,21638.1,-5.591988205987839,,
2025-6-19 15:21,21624.0,21627.0,21615.0,21620.0,347.0,-6.0,-26213.0,2220.0,-26213.0,28433.0,0.0,-2082.0,0,0,21635.1,-6.979399217012422,,
2025-6-19 15:22,21618.0,21624.0,21616.0,21622.0,186.0,2.0,-25841.0,2220.0,-26213.0,28061.0,372.0,372.0,0,0,21632.8,-4.992418919418324,,
2025-6-19 15:23,21622.0,21624.0,21618.0,21622.0,134.0,0.0,-25841.0,2220.0,-26213.0,28061.0,372.0,0.0,0,0,21630.6,-3.9758490286901633,,
2025-6-19 15:24,21624.0,21624.0,21612.0,21615.0,280.0,-7.0,-27801.0,2220.0,-27801.0,30021.0,0.0,-1960.0,0,0,21627.7,-5.872099206111018,,
2025-6-19 15:25,21614.0,21624.0,21611.0,21618.0,227.0,3.0,-27120.0,2220.0,-27801.0,29340.0,681.0,681.0,0,0,21625.6,-3.5143533589812743,,
2025-6-19 15:26,21618.0,21620.0,21610.0,21614.0,239.0,-4.0,-28076.0,2220.0,-28076.0,30296.0,0.0,-956.0,0,0,21623.6,-4.439593777168716,,
2025-6-19 15:27,21614.0,21621.0,21612.0,21620.0,198.0,6.0,-26888.0,2220.0,-28076.0,29108.0,1188.0,1188.0,0,0,21622.4,-1.109960041439181,,
