時間,開盤,最高,最低,收盤,成交量,收盤差,力道和,最大力道和,最小力道和,最大力道和差,最小力道和差,力道,ACTION,bot
2025-07-10 15:00,22613.0,22613.0,22602.0,22608.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2025-07-10 15:01,22606.0,22613.0,22606.0,22608.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2025-07-10 15:02,22607.0,22615.0,22606.0,22615.0,121.0,7.0,847.0,847.0,0.0,0.0,847.0,847.0,,
2025-07-10 15:03,22615.0,22615.0,22610.0,22613.0,64.0,-2.0,719.0,847.0,0.0,128.0,719.0,-128.0,,
2025-07-10 15:04,22613.0,22615.0,22611.0,22615.0,45.0,2.0,809.0,847.0,0.0,38.0,809.0,90.0,,
2025-07-10 15:05,22615.0,22617.0,22611.0,22611.0,87.0,-4.0,461.0,847.0,0.0,386.0,461.0,-348.0,,
2025-07-10 15:06,22614.0,22615.0,22606.0,22610.0,125.0,-1.0,336.0,847.0,0.0,511.0,336.0,-125.0,,
2025-07-10 15:07,22610.0,22610.0,22607.0,22610.0,28.0,0.0,336.0,847.0,0.0,511.0,336.0,0.0,,
2025-07-10 15:08,22610.0,22613.0,22609.0,22612.0,32.0,2.0,400.0,847.0,0.0,447.0,400.0,64.0,,
2025-07-10 15:09,22612.0,22612.0,22608.0,22610.0,29.0,-2.0,342.0,847.0,0.0,505.0,342.0,-58.0,,
2025-07-10 15:10,22608.0,22610.0,22608.0,22610.0,31.0,0.0,342.0,847.0,0.0,505.0,342.0,0.0,,
2025-07-10 15:11,22610.0,22610.0,22607.0,22607.0,22.0,-3.0,276.0,847.0,0.0,571.0,276.0,-66.0,,
2025-07-10 15:12,22607.0,22608.0,22604.0,22605.0,48.0,-2.0,180.0,847.0,0.0,667.0,180.0,-96.0,,
2025-07-10 15:13,22605.0,22610.0,22605.0,22609.0,87.0,4.0,528.0,847.0,0.0,319.0,528.0,348.0,,
2025-07-10 15:14,22609.0,22616.0,22608.0,22613.0,97.0,4.0,916.0,916.0,0.0,0.0,916.0,388.0,,
2025-07-10 15:15,22615.0,22615.0,22605.0,22608.0,77.0,-5.0,531.0,916.0,0.0,385.0,531.0,-385.0,,
2025-07-10 15:16,22607.0,22611.0,22605.0,22611.0,42.0,3.0,657.0,916.0,0.0,259.0,657.0,126.0,,
2025-07-10 15:17,22611.0,22615.0,22611.0,22615.0,56.0,4.0,881.0,916.0,0.0,35.0,881.0,224.0,,
2025-07-10 15:18,22615.0,22618.0,22614.0,22616.0,85.0,1.0,966.0,966.0,0.0,0.0,966.0,85.0,,
2025-07-10 15:19,22620.0,22622.0,22616.0,22620.0,131.0,4.0,1490.0,1490.0,0.0,0.0,1490.0,524.0,,
2025-07-10 15:20,22620.0,22622.0,22616.0,22620.0,98.0,0.0,1490.0,1490.0,0.0,0.0,1490.0,0.0,,
2025-07-10 15:21,22620.0,22624.0,22618.0,22618.0,78.0,-2.0,1334.0,1490.0,0.0,156.0,1334.0,-156.0,,
2025-07-10 15:22,22618.0,22620.0,22616.0,22619.0,40.0,1.0,1374.0,1490.0,0.0,116.0,1374.0,40.0,,
2025-07-10 15:23,22619.0,22624.0,22619.0,22623.0,83.0,4.0,1706.0,1706.0,0.0,0.0,1706.0,332.0,,
2025-07-10 15:24,22623.0,22632.0,22622.0,22630.0,225.0,7.0,3281.0,3281.0,0.0,0.0,3281.0,1575.0,,
2025-07-10 15:25,22630.0,22632.0,22621.0,22621.0,121.0,-9.0,2192.0,3281.0,0.0,1089.0,2192.0,-1089.0,,
2025-07-10 15:26,22621.0,22623.0,22621.0,22621.0,52.0,0.0,2192.0,3281.0,0.0,1089.0,2192.0,0.0,,
2025-07-10 15:27,22621.0,22626.0,22621.0,22623.0,62.0,2.0,2316.0,3281.0,0.0,965.0,2316.0,124.0,,
2025-07-10 15:28,22623.0,22625.0,22622.0,22625.0,40.0,2.0,2396.0,3281.0,0.0,885.0,2396.0,80.0,,
2025-07-10 15:29,22625.0,22626.0,22621.0,22623.0,47.0,-2.0,2302.0,3281.0,0.0,979.0,2302.0,-94.0,,
2025-07-10 15:30,22624.0,22625.0,22623.0,22623.0,41.0,0.0,2302.0,3281.0,0.0,979.0,2302.0,0.0,,
2025-07-10 15:31,22623.0,22623.0,22619.0,22619.0,150.0,-4.0,1702.0,3281.0,0.0,1579.0,1702.0,-600.0,,
2025-07-10 15:32,22619.0,22622.0,22619.0,22620.0,36.0,1.0,1738.0,3281.0,0.0,1543.0,1738.0,36.0,,
2025-07-10 15:33,22620.0,22620.0,22617.0,22618.0,43.0,-2.0,1652.0,3281.0,0.0,1629.0,1652.0,-86.0,,
2025-07-10 15:34,22618.0,22620.0,22617.0,22618.0,47.0,0.0,1652.0,3281.0,0.0,1629.0,1652.0,0.0,,
2025-07-10 15:35,22618.0,22621.0,22618.0,22620.0,31.0,2.0,1714.0,3281.0,0.0,1567.0,1714.0,62.0,,
2025-07-10 15:36,22620.0,22620.0,22615.0,22618.0,72.0,-2.0,1570.0,3281.0,0.0,1711.0,1570.0,-144.0,,
2025-07-10 15:37,22618.0,22621.0,22618.0,22618.0,26.0,0.0,1570.0,3281.0,0.0,1711.0,1570.0,0.0,,
2025-07-10 15:38,22618.0,22619.0,22617.0,22617.0,18.0,-1.0,1552.0,3281.0,0.0,1729.0,1552.0,-18.0,,
2025-07-10 15:39,22617.0,22624.0,22617.0,22623.0,46.0,6.0,1828.0,3281.0,0.0,1453.0,1828.0,276.0,,
2025-07-10 15:40,22623.0,22634.0,22623.0,22634.0,168.0,11.0,3676.0,3676.0,0.0,0.0,3676.0,1848.0,,
2025-07-10 15:41,22633.0,22633.0,22629.0,22630.0,70.0,-4.0,3396.0,3676.0,0.0,280.0,3396.0,-280.0,,
2025-07-10 15:42,22630.0,22634.0,22628.0,22633.0,70.0,3.0,3606.0,3676.0,0.0,70.0,3606.0,210.0,,
2025-07-10 15:43,22633.0,22634.0,22632.0,22632.0,60.0,-1.0,3546.0,3676.0,0.0,130.0,3546.0,-60.0,,
2025-07-10 15:44,22632.0,22633.0,22631.0,22633.0,34.0,1.0,3580.0,3676.0,0.0,96.0,3580.0,34.0,,
2025-07-10 15:45,22632.0,22637.0,22631.0,22636.0,109.0,3.0,3907.0,3907.0,0.0,0.0,3907.0,327.0,,
2025-07-10 15:46,22636.0,22641.0,22636.0,22640.0,169.0,4.0,4583.0,4583.0,0.0,0.0,4583.0,676.0,,
2025-07-10 15:47,22641.0,22645.0,22638.0,22645.0,148.0,5.0,5323.0,5323.0,0.0,0.0,5323.0,740.0,,
2025-07-10 15:48,22645.0,22645.0,22640.0,22642.0,140.0,-3.0,4903.0,5323.0,0.0,420.0,4903.0,-420.0,,
2025-07-10 15:49,22642.0,22643.0,22636.0,22638.0,124.0,-4.0,4407.0,5323.0,0.0,916.0,4407.0,-496.0,,
2025-07-10 15:50,22638.0,22640.0,22635.0,22637.0,79.0,-1.0,4328.0,5323.0,0.0,995.0,4328.0,-79.0,,
2025-07-10 15:51,22637.0,22637.0,22634.0,22634.0,44.0,-3.0,4196.0,5323.0,0.0,1127.0,4196.0,-132.0,,
2025-07-10 15:52,22634.0,22636.0,22632.0,22632.0,63.0,-2.0,4070.0,5323.0,0.0,1253.0,4070.0,-126.0,,
2025-07-10 15:53,22632.0,22635.0,22632.0,22634.0,42.0,2.0,4154.0,5323.0,0.0,1169.0,4154.0,84.0,,
2025-07-10 15:54,22634.0,22637.0,22633.0,22637.0,38.0,3.0,4268.0,5323.0,0.0,1055.0,4268.0,114.0,,
2025-07-10 15:55,22637.0,22641.0,22635.0,22641.0,62.0,4.0,4516.0,5323.0,0.0,807.0,4516.0,248.0,,
2025-07-10 15:56,22641.0,22643.0,22639.0,22641.0,74.0,0.0,4516.0,5323.0,0.0,807.0,4516.0,0.0,,
2025-07-10 15:57,22642.0,22642.0,22639.0,22641.0,57.0,0.0,4516.0,5323.0,0.0,807.0,4516.0,0.0,,
2025-07-10 15:58,22641.0,22654.0,22640.0,22652.0,535.0,11.0,10401.0,10401.0,0.0,0.0,10401.0,5885.0,,
2025-07-10 15:59,22654.0,22654.0,22650.0,22652.0,157.0,0.0,10401.0,10401.0,0.0,0.0,10401.0,0.0,,
2025-07-10 16:00,22652.0,22652.0,22646.0,22646.0,216.0,-6.0,9105.0,10401.0,0.0,1296.0,9105.0,-1296.0,,
2025-07-10 16:01,22646.0,22654.0,22646.0,22654.0,148.0,8.0,10289.0,10401.0,180.0,112.0,10109.0,1184.0,,
2025-07-10 16:02,22653.0,22660.0,22652.0,22656.0,243.0,2.0,9928.0,10401.0,180.0,473.0,9748.0,486.0,,
2025-07-10 16:03,22657.0,22657.0,22654.0,22657.0,89.0,1.0,10145.0,10401.0,180.0,256.0,9965.0,89.0,,
2025-07-10 16:04,22655.0,22662.0,22655.0,22662.0,179.0,5.0,10950.0,10950.0,180.0,0.0,10770.0,895.0,,
2025-07-10 16:05,22660.0,22662.0,22660.0,22662.0,109.0,0.0,11298.0,11298.0,180.0,0.0,11118.0,0.0,,
2025-07-10 16:06,22661.0,22661.0,22655.0,22656.0,124.0,-6.0,10679.0,11298.0,180.0,619.0,10499.0,-744.0,,
2025-07-10 16:07,22656.0,22661.0,22654.0,22661.0,131.0,5.0,11334.0,11334.0,180.0,0.0,11154.0,655.0,,
2025-07-10 16:08,22661.0,22661.0,22659.0,22659.0,71.0,-2.0,11128.0,11334.0,180.0,206.0,10948.0,-142.0,,
2025-07-10 16:09,22659.0,22661.0,22657.0,22657.0,85.0,-2.0,11016.0,11334.0,180.0,318.0,10836.0,-170.0,,
2025-07-10 16:10,22657.0,22659.0,22656.0,22658.0,43.0,1.0,11059.0,11334.0,180.0,275.0,10879.0,43.0,,
2025-07-10 16:11,22658.0,22660.0,22658.0,22659.0,47.0,1.0,11172.0,11334.0,180.0,162.0,10992.0,47.0,,
2025-07-10 16:12,22659.0,22662.0,22658.0,22660.0,65.0,1.0,11333.0,11334.0,528.0,1.0,10805.0,65.0,,
2025-07-10 16:13,22660.0,22660.0,22657.0,22660.0,51.0,0.0,10985.0,11334.0,531.0,349.0,10454.0,0.0,,
2025-07-10 16:14,22660.0,22660.0,22655.0,22657.0,75.0,-3.0,10372.0,11334.0,531.0,962.0,9841.0,-225.0,,
2025-07-10 16:15,22655.0,22658.0,22655.0,22657.0,61.0,0.0,10757.0,11334.0,657.0,577.0,10100.0,0.0,,
2025-07-10 16:16,22657.0,22658.0,22654.0,22657.0,49.0,0.0,10631.0,11334.0,881.0,703.0,9750.0,0.0,,
2025-07-10 16:17,22657.0,22663.0,22657.0,22662.0,88.0,5.0,10847.0,11334.0,966.0,487.0,9881.0,440.0,,
2025-07-10 16:18,22665.0,22666.0,22659.0,22661.0,122.0,-1.0,10640.0,11334.0,1334.0,694.0,9306.0,-122.0,,
2025-07-10 16:19,22661.0,22663.0,22660.0,22662.0,66.0,1.0,10182.0,11334.0,1334.0,1152.0,8848.0,66.0,,
2025-07-10 16:20,22663.0,22670.0,22663.0,22670.0,184.0,8.0,11654.0,11654.0,1334.0,0.0,10320.0,1472.0,,
2025-07-10 16:21,22672.0,22678.0,22670.0,22678.0,328.0,8.0,14434.0,14434.0,1374.0,0.0,13060.0,2624.0,,
2025-07-10 16:22,22678.0,22678.0,22669.0,22673.0,265.0,-5.0,13069.0,14434.0,1552.0,1365.0,11517.0,-1325.0,,
2025-07-10 16:23,22673.0,22673.0,22671.0,22672.0,71.0,-1.0,12666.0,14434.0,1552.0,1768.0,11114.0,-71.0,,
2025-07-10 16:24,22671.0,22679.0,22669.0,22679.0,195.0,7.0,12456.0,14434.0,1552.0,1978.0,10904.0,1365.0,,
2025-07-10 16:25,22678.0,22678.0,22671.0,22671.0,73.0,-8.0,12961.0,14434.0,1552.0,1473.0,11409.0,-584.0,,
2025-07-10 16:26,22671.0,22673.0,22669.0,22672.0,90.0,1.0,13051.0,14434.0,1552.0,1383.0,11499.0,90.0,,
2025-07-10 16:27,22670.0,22673.0,22670.0,22670.0,83.0,-2.0,12761.0,14434.0,1552.0,1673.0,11209.0,-166.0,,
2025-07-10 16:28,22670.0,22670.0,22666.0,22666.0,110.0,-4.0,12241.0,14434.0,1552.0,2193.0,10689.0,-440.0,,
2025-07-10 16:29,22666.0,22669.0,22666.0,22667.0,74.0,1.0,12409.0,14434.0,1552.0,2025.0,10857.0,74.0,,
2025-07-10 16:30,22667.0,22669.0,22663.0,22664.0,137.0,-3.0,11998.0,14434.0,1552.0,2436.0,10446.0,-411.0,,
2025-07-10 16:31,22664.0,22666.0,22659.0,22660.0,161.0,-4.0,11954.0,14434.0,1552.0,2480.0,10402.0,-644.0,,
2025-07-10 16:32,22660.0,22662.0,22659.0,22660.0,75.0,0.0,11918.0,14434.0,1552.0,2516.0,10366.0,0.0,,
2025-07-10 16:33,22661.0,22663.0,22661.0,22662.0,25.0,2.0,12054.0,14434.0,1552.0,2380.0,10502.0,50.0,,
2025-07-10 16:34,22662.0,22665.0,22662.0,22663.0,52.0,1.0,12106.0,14434.0,1552.0,2328.0,10554.0,52.0,,
2025-07-10 16:35,22663.0,22666.0,22663.0,22666.0,51.0,3.0,12197.0,14434.0,1552.0,2237.0,10645.0,153.0,,
2025-07-10 16:36,22666.0,22670.0,22665.0,22669.0,50.0,3.0,12491.0,14434.0,1552.0,1943.0,10939.0,150.0,,
2025-07-10 16:37,22669.0,22670.0,22666.0,22666.0,68.0,-3.0,12287.0,14434.0,1552.0,2147.0,10735.0,-204.0,,
2025-07-10 16:38,22666.0,22666.0,22664.0,22665.0,35.0,-1.0,12270.0,14434.0,1828.0,2164.0,10442.0,-35.0,,
2025-07-10 16:39,22666.0,22666.0,22665.0,22666.0,21.0,1.0,12015.0,14434.0,3396.0,2419.0,8619.0,21.0,,
2025-07-10 16:40,22666.0,22667.0,22664.0,22664.0,32.0,-2.0,10103.0,14434.0,3396.0,4331.0,6707.0,-64.0,,
2025-07-10 16:41,22664.0,22666.0,22662.0,22666.0,70.0,2.0,10523.0,14434.0,3546.0,3911.0,6977.0,140.0,,
2025-07-10 16:42,22666.0,22667.0,22666.0,22666.0,25.0,0.0,10313.0,14434.0,3546.0,4121.0,6767.0,0.0,,
2025-07-10 16:43,22666.0,22666.0,22664.0,22665.0,17.0,-1.0,10356.0,14434.0,3580.0,4078.0,6776.0,-17.0,,
2025-07-10 16:44,22665.0,22666.0,22663.0,22664.0,24.0,-1.0,10298.0,14434.0,3907.0,4136.0,6391.0,-24.0,,
2025-07-10 16:45,22664.0,22665.0,22661.0,22661.0,50.0,-3.0,9821.0,14434.0,4070.0,4613.0,5751.0,-150.0,,
2025-07-10 16:46,22661.0,22664.0,22660.0,22662.0,37.0,1.0,9182.0,14434.0,4070.0,5252.0,5112.0,37.0,,
2025-07-10 16:47,22662.0,22664.0,22662.0,22664.0,17.0,2.0,8476.0,14434.0,4070.0,5958.0,4406.0,34.0,,
2025-07-10 16:48,22663.0,22663.0,22662.0,22662.0,12.0,-2.0,8872.0,14434.0,4070.0,5562.0,4802.0,-24.0,,
2025-07-10 16:49,22662.0,22663.0,22661.0,22663.0,44.0,1.0,9412.0,14434.0,4070.0,5022.0,5342.0,44.0,,
2025-07-10 16:50,22663.0,22666.0,22662.0,22666.0,33.0,3.0,9590.0,14434.0,4070.0,4844.0,5520.0,99.0,,
2025-07-10 16:51,22666.0,22668.0,22666.0,22668.0,25.0,2.0,9772.0,14434.0,4070.0,4662.0,5702.0,50.0,,
2025-07-10 16:52,22668.0,22669.0,22666.0,22667.0,42.0,-1.0,9856.0,14434.0,4154.0,4578.0,5702.0,-42.0,,
2025-07-10 16:53,22667.0,22667.0,22665.0,22666.0,26.0,-1.0,9746.0,14434.0,4268.0,4688.0,5478.0,-26.0,,
2025-07-10 16:54,22667.0,22667.0,22664.0,22665.0,46.0,-1.0,9586.0,14434.0,4516.0,4848.0,5070.0,-46.0,,
2025-07-10 16:55,22665.0,22667.0,22664.0,22665.0,20.0,0.0,9338.0,14434.0,4516.0,5096.0,4822.0,0.0,,
2025-07-10 16:56,22665.0,22668.0,22663.0,22666.0,38.0,1.0,9376.0,14434.0,4516.0,5058.0,4860.0,38.0,,
2025-07-10 16:57,22666.0,22667.0,22665.0,22666.0,12.0,0.0,9376.0,14434.0,8476.0,5058.0,900.0,0.0,,
