時間,開盤,最高,最低,收盤,成交量,收盤差,力道和,最大力道和,最小力道和,最大力道和差,最小力道和差,力道,ACTION,bot
2025-07-10 08:45,22476.0,22484.0,22469.0,22474.0,1477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2025-07-10 08:46,22480.0,22514.0,22470.0,22509.0,1259.0,35.0,44065.0,44065.0,0.0,0.0,44065.0,44065.0,,
2025-07-10 08:47,22507.0,22512.0,22491.0,22496.0,598.0,-13.0,36291.0,44065.0,0.0,7774.0,36291.0,-7774.0,,
2025-07-10 08:48,22496.0,22509.0,22495.0,22505.0,357.0,9.0,39504.0,44065.0,0.0,4561.0,39504.0,3213.0,,
2025-07-10 08:49,22505.0,22507.0,22488.0,22488.0,352.0,-17.0,33520.0,44065.0,0.0,10545.0,33520.0,-5984.0,,
2025-07-10 08:50,22492.0,22500.0,22488.0,22488.0,360.0,0.0,33520.0,44065.0,0.0,10545.0,33520.0,0.0,,
2025-07-10 08:51,22489.0,22490.0,22459.0,22465.0,1014.0,-23.0,10198.0,44065.0,0.0,33867.0,10198.0,-23322.0,,
2025-07-10 08:52,22466.0,22470.0,22466.0,22468.0,295.0,3.0,11083.0,44065.0,0.0,32982.0,11083.0,885.0,,
2025-07-10 08:53,22471.0,22472.0,22448.0,22459.0,1276.0,-9.0,-401.0,44065.0,-401.0,44466.0,0.0,-11484.0,,
2025-07-10 08:54,22458.0,22462.0,22435.0,22437.0,944.0,-22.0,-21169.0,44065.0,-21169.0,65234.0,0.0,-20768.0,,
2025-07-10 08:55,22439.0,22442.0,22432.0,22435.0,523.0,-2.0,-22215.0,44065.0,-22215.0,66280.0,0.0,-1046.0,,
2025-07-10 08:56,22437.0,22445.0,22431.0,22435.0,439.0,0.0,-22215.0,44065.0,-22215.0,66280.0,0.0,0.0,,
2025-07-10 08:57,22435.0,22439.0,22430.0,22431.0,457.0,-4.0,-24043.0,44065.0,-24043.0,68108.0,0.0,-1828.0,,
2025-07-10 08:58,22431.0,22445.0,22428.0,22430.0,524.0,-1.0,-24567.0,44065.0,-24567.0,68632.0,0.0,-524.0,,
2025-07-10 08:59,22428.0,22436.0,22417.0,22430.0,998.0,0.0,-24567.0,44065.0,-24567.0,68632.0,0.0,0.0,,
2025-07-10 09:00,22429.0,22475.0,22429.0,22435.0,2360.0,5.0,-12767.0,44065.0,-24567.0,56832.0,11800.0,11800.0,,
2025-07-10 09:01,22433.0,22434.0,22411.0,22411.0,1333.0,-24.0,-44759.0,44065.0,-44759.0,88824.0,0.0,-31992.0,,
2025-07-10 09:02,22412.0,22428.0,22409.0,22425.0,923.0,14.0,-31837.0,44065.0,-44759.0,75902.0,12922.0,12922.0,,
2025-07-10 09:03,22426.0,22459.0,22426.0,22437.0,1217.0,12.0,-17233.0,44065.0,-44759.0,61298.0,27526.0,14604.0,,
2025-07-10 09:04,22439.0,22462.0,22439.0,22447.0,536.0,10.0,-11873.0,44065.0,-44759.0,55938.0,32886.0,5360.0,,
