時間,開盤,最高,最低,收盤,成交量,收盤差,力道和,最大力道和,最小力道和,最大力道和差,最小力道和差,力道,ACTION,bot
2025-07-01 15:10,22363.0,22364.0,22358.0,22358.0,67.0,-5.0,-1674.0,0.0,-2504.0,1674.0,830.0,-335.0,空,bot0
2025-07-01 15:10,22363.0,22364.0,22358.0,22358.0,67.0,-5.0,-1674.0,0.0,-2504.0,1674.0,830.0,-335.0,空,bot1
2025-07-01 15:10,22363.0,22364.0,22358.0,22358.0,67.0,-5.0,-1674.0,0.0,-2504.0,1674.0,830.0,-335.0,空,bot2
2025-07-01 15:12,22367.0,22373.0,22365.0,22373.0,215.0,7.0,555.0,555.0,-2504.0,0.0,3059.0,1505.0,沖,bot1
2025-07-01 15:12,22367.0,22373.0,22365.0,22373.0,215.0,7.0,555.0,555.0,-2504.0,0.0,3059.0,1505.0,沖,bot2
2025-07-01 15:13,22373.0,22374.0,22372.0,22374.0,12.0,1.0,742.0,742.0,-2504.0,0.0,3246.0,12.0,沖,bot0
2025-07-01 16:03,22363.0,22368.0,22362.0,22368.0,26.0,5.0,1829.0,3385.0,-2433.0,1556.0,4262.0,130.0,多,bot0
2025-07-01 16:03,22363.0,22368.0,22362.0,22368.0,26.0,5.0,1829.0,3385.0,-2433.0,1556.0,4262.0,130.0,多,bot1
2025-07-01 16:03,22363.0,22368.0,22362.0,22368.0,26.0,5.0,1829.0,3385.0,-2433.0,1556.0,4262.0,130.0,多,bot2
2025-07-01 16:07,22374.0,22374.0,22366.0,22366.0,26.0,-8.0,2032.0,3385.0,-1879.0,1353.0,3911.0,-208.0,沖,bot2
2025-07-01 16:12,22377.0,22378.0,22372.0,22372.0,38.0,-5.0,-916.0,3385.0,-1777.0,4301.0,861.0,-190.0,沖,bot1
2025-07-01 16:13,22374.0,22375.0,22371.0,22371.0,18.0,-3.0,-644.0,3385.0,-1777.0,4029.0,1133.0,-54.0,沖,bot0
2025-07-01 17:20,22374.0,22376.0,22370.0,22370.0,45.0,-4.0,-664.0,5227.0,-1881.0,5891.0,1217.0,-180.0,空,bot0
2025-07-01 17:20,22374.0,22376.0,22370.0,22370.0,45.0,-4.0,-664.0,5227.0,-1881.0,5891.0,1217.0,-180.0,空,bot1
2025-07-01 17:20,22374.0,22376.0,22370.0,22370.0,45.0,-4.0,-664.0,5227.0,-1881.0,5891.0,1217.0,-180.0,空,bot2
2025-07-01 17:23,22376.0,22383.0,22375.0,22383.0,67.0,6.0,-2406.0,5227.0,-2406.0,7633.0,0.0,402.0,沖,bot2
2025-07-01 17:45,22366.0,22369.0,22364.0,22369.0,16.0,3.0,-3499.0,2824.0,-5276.0,6323.0,1777.0,48.0,沖,bot1
2025-07-01 17:45,22366.0,22370.0,22364.0,22370.0,23.0,4.0,-3455.0,2824.0,-5276.0,6279.0,1821.0,92.0,沖,bot0
2025-07-01 20:31,22336.0,22341.0,22335.0,22335.0,161.0,0.0,-9381.0,136.0,-13261.0,9517.0,3880.0,0.0,空,bot0
2025-07-01 20:31,22336.0,22341.0,22335.0,22335.0,161.0,0.0,-9381.0,136.0,-13261.0,9517.0,3880.0,0.0,空,bot1
2025-07-01 20:31,22336.0,22341.0,22335.0,22335.0,161.0,0.0,-9381.0,136.0,-13261.0,9517.0,3880.0,0.0,空,bot2
2025-07-01 20:34,22341.0,22347.0,22340.0,22347.0,111.0,6.0,-7933.0,136.0,-13261.0,8069.0,5328.0,666.0,沖,bot2
2025-07-01 20:35,22346.0,22349.0,22346.0,22349.0,50.0,3.0,-8069.0,-144.0,-13261.0,7925.0,5192.0,150.0,沖,bot1
2025-07-01 20:36,22348.0,22352.0,22348.0,22352.0,32.0,4.0,-7656.0,-191.0,-13261.0,7465.0,5605.0,128.0,沖,bot0
2025-07-01 21:32,22348.0,22348.0,22342.0,22348.0,62.0,0.0,18277.0,18676.0,-9137.0,399.0,27414.0,0.0,多,bot0
2025-07-01 21:32,22348.0,22348.0,22342.0,22348.0,62.0,0.0,18277.0,18676.0,-9137.0,399.0,27414.0,0.0,多,bot1
2025-07-01 21:32,22348.0,22348.0,22342.0,22348.0,62.0,0.0,18277.0,18676.0,-9137.0,399.0,27414.0,0.0,多,bot2
2025-07-01 21:32,22348.0,22352.0,22340.0,22340.0,229.0,-8.0,16445.0,18676.0,-9137.0,2231.0,25582.0,-1832.0,沖,bot2
2025-07-01 21:33,22349.0,22349.0,22338.0,22338.0,60.0,-11.0,17806.0,18698.0,-9137.0,892.0,26943.0,-660.0,沖,bot1
2025-07-01 21:33,22349.0,22349.0,22335.0,22335.0,86.0,-14.0,17262.0,18698.0,-9137.0,1436.0,26399.0,-1204.0,沖,bot0
2025-07-01 21:36,22327.0,22334.0,22325.0,22334.0,100.0,7.0,11842.0,18698.0,-9137.0,6856.0,20979.0,700.0,多,bot2
2025-07-01 21:38,22329.0,22329.0,22322.0,22322.0,57.0,-8.0,11490.0,18698.0,-9137.0,7208.0,20627.0,-456.0,沖,bot2
2025-07-01 21:38,22329.0,22330.0,22322.0,22330.0,101.0,0.0,11946.0,18698.0,-9137.0,6752.0,21083.0,0.0,多,bot0
2025-07-01 21:38,22329.0,22330.0,22322.0,22330.0,101.0,0.0,11946.0,18698.0,-9137.0,6752.0,21083.0,0.0,多,bot1
2025-07-01 21:40,22330.0,22335.0,22328.0,22328.0,42.0,-2.0,12350.0,18698.0,-9137.0,6348.0,21487.0,-84.0,沖,bot1
2025-07-01 21:40,22330.0,22335.0,22325.0,22325.0,104.0,-5.0,11914.0,18698.0,-9137.0,6784.0,21051.0,-520.0,沖,bot0
2025-07-01 21:42,22313.0,22317.0,22311.0,22317.0,81.0,3.0,5072.0,18698.0,-9063.0,13626.0,14135.0,243.0,多,bot2
2025-07-01 21:42,22313.0,22317.0,22311.0,22317.0,81.0,3.0,5072.0,18698.0,-9063.0,13626.0,14135.0,243.0,多,bot5
2025-07-01 21:42,22313.0,22317.0,22311.0,22317.0,81.0,3.0,5072.0,18698.0,-9063.0,13626.0,14135.0,243.0,多,bot6
2025-07-01 21:42,22313.0,22317.0,22311.0,22317.0,81.0,3.0,5072.0,18698.0,-9063.0,13626.0,14135.0,243.0,多,bot7
2025-07-01 21:43,22324.0,22324.0,22317.0,22317.0,95.0,-8.0,7501.0,18698.0,-9063.0,11197.0,16564.0,-760.0,沖,bot2
2025-07-01 21:43,22324.0,22324.0,22317.0,22317.0,95.0,-8.0,7501.0,18698.0,-9063.0,11197.0,16564.0,-760.0,沖,bot7
2025-07-01 21:43,22324.0,22324.0,22316.0,22316.0,97.0,-9.0,7388.0,18698.0,-9063.0,11310.0,16451.0,-873.0,沖,bot6
2025-07-01 21:43,22324.0,22324.0,22314.0,22314.0,114.0,-11.0,7007.0,18698.0,-9063.0,11691.0,16070.0,-1254.0,沖,bot5
2025-07-01 21:44,22309.0,22314.0,22308.0,22314.0,83.0,5.0,4208.0,18698.0,-9036.0,14490.0,13244.0,415.0,多,bot0
2025-07-01 21:44,22309.0,22314.0,22308.0,22314.0,83.0,5.0,4208.0,18698.0,-9036.0,14490.0,13244.0,415.0,多,bot1
2025-07-01 21:47,22328.0,22338.0,22328.0,22332.0,185.0,4.0,8362.0,18698.0,-8812.0,10336.0,17174.0,740.0,沖,bot0
