時間,開盤,最高,最低,收盤,成交量,收盤差,力道和,最大力道和,最小力道和,最大力道和差,最小力道和差,力道,ACTION,bot
2025-08-11 08:49,23923.0,23931.0,23923.0,23925.0,222.0,1.0,-39647.0,0.0,-39869.0,39647.0,222.0,222.0,空,bot0
2025-08-11 08:50,23913.0,23913.0,23904.0,23911.0,564.0,-1.0,-53525.0,0.0,-53525.0,53525.0,0.0,-564.0,沖,bot0
2025-08-11 08:54,23917.0,23917.0,23911.0,23911.0,88.0,-6.0,-50043.0,0.0,-52961.0,50043.0,2918.0,-528.0,空,bot0
2025-08-11 08:58,23908.0,23910.0,23893.0,23901.0,844.0,-7.0,-58918.0,0.0,-58918.0,58918.0,0.0,-5908.0,沖,bot0
2025-08-11 09:01,23880.0,23880.0,23856.0,23871.0,1652.0,-13.0,-101882.0,0.0,-101882.0,101882.0,0.0,-21476.0,空,A3
2025-08-11 09:01,23880.0,23884.0,23856.0,23884.0,1876.0,0.0,-80406.0,0.0,-80406.0,80406.0,0.0,0.0,沖,A3
2025-08-11 09:01,23880.0,23888.0,23856.0,23874.0,2066.0,-10.0,-101066.0,0.0,-101066.0,101066.0,0.0,-20660.0,空,A2
2025-08-11 09:01,23880.0,23888.0,23856.0,23867.0,2349.0,-17.0,-120339.0,0.0,-120339.0,120339.0,0.0,-39933.0,沖,A2
2025-08-11 09:03,23841.0,23876.0,23839.0,23871.0,633.0,28.0,-150099.0,0.0,-167823.0,150099.0,17724.0,17724.0,空,bot0
2025-08-11 09:03,23841.0,23876.0,23839.0,23867.0,657.0,24.0,-152055.0,0.0,-167823.0,152055.0,15768.0,15768.0,空,C1
2025-08-11 09:03,23841.0,23876.0,23839.0,23867.0,657.0,24.0,-152055.0,0.0,-167823.0,152055.0,15768.0,15768.0,空,C2
2025-08-11 09:03,23841.0,23876.0,23839.0,23867.0,657.0,24.0,-152055.0,0.0,-167823.0,152055.0,15768.0,15768.0,空,C3
2025-08-11 09:03,23841.0,23882.0,23839.0,23882.0,1107.0,39.0,-124650.0,0.0,-167823.0,124650.0,43173.0,43173.0,沖,bot0
2025-08-11 09:03,23841.0,23882.0,23839.0,23882.0,1107.0,39.0,-124650.0,0.0,-167823.0,124650.0,43173.0,43173.0,沖,C1
2025-08-11 09:03,23841.0,23882.0,23839.0,23882.0,1107.0,39.0,-124650.0,0.0,-167823.0,124650.0,43173.0,43173.0,沖,C2
2025-08-11 09:03,23841.0,23882.0,23839.0,23882.0,1107.0,39.0,-124650.0,0.0,-167823.0,124650.0,43173.0,43173.0,沖,C3
2025-08-11 09:47,23956.0,23962.0,23956.0,23962.0,167.0,2.0,50237.0,67028.0,-167823.0,16791.0,218060.0,334.0,多,bot0
2025-08-11 09:50,23965.0,23965.0,23962.0,23962.0,19.0,-4.0,75525.0,81066.0,-167823.0,5541.0,243348.0,-76.0,沖,bot0
